Dist1,0,0
Dist1,10,2970
Dist1,20,97626
Dist1,30,36469
Dist1,40,13575
Dist1,50,5256
Dist1,60,743
Dist1,70,111
Dist1,80,11
Dist1,90,0
Dist10,0,0
Dist10,10,517
Dist10,20,10841
Dist10,30,5615
Dist10,40,2197
Dist10,50,770
Dist10,60,39
Dist10,70,11
Dist10,80,0
Dist10,90,0
Dist2,0,0
Dist2,10,1193
Dist2,20,35233
Dist2,30,14963
Dist2,40,5435
Dist2,50,2062
Dist2,60,163
Dist2,70,37
Dist2,80,7
Dist2,90,0
Dist3,0,0
Dist3,10,2023
Dist3,20,57880
Dist3,30,24249
Dist3,40,9362
Dist3,50,3124
Dist3,60,626
Dist3,70,76
Dist3,80,1
Dist3,90,0
Dist4,0,0
Dist4,10,190
Dist4,20,5311
Dist4,30,3565
Dist4,40,1558
Dist4,50,518
Dist4,60,21
Dist4,70,4
Dist4,80,0
Dist4,90,0
Dist5,0,0
Dist5,10,3950
Dist5,20,151253
Dist5,30,72484
Dist5,40,25899
Dist5,50,9089
Dist5,60,811
Dist5,70,70
Dist5,80,16
Dist5,90,1
Dist6,0,0
Dist6,10,1546
Dist6,20,47862
Dist6,30,22538
Dist6,40,7970
Dist6,50,2696
Dist6,60,229
Dist6,70,22
Dist6,80,1
Dist6,90,0
Dist7,0,0
Dist7,10,770
Dist7,20,13284
Dist7,30,6191
Dist7,40,1892
Dist7,50,722
Dist7,60,29
Dist7,70,8
Dist7,80,0
Dist7,90,0
Dist8,0,0
Dist8,10,537
Dist8,20,25003
Dist8,30,13496
Dist8,40,4462
Dist8,50,1431
Dist8,60,126
Dist8,70,22
Dist8,80,1
Dist8,90,0
